id,event,day,instance,enrollmentgroup,completed,date,time,time_participant,time_interval,positive_score,negative_score,positive_SD,negative_SD,positive_mean,negative_mean
12034,2,6,11,0,1,2/15/2022,8:26:09 AM,7:26:09 AM,,19,17,8,4,18.5,16.25
12034,2,5,6,0,1,2/14/2022,8:57:42 AM,7:57:42 AM,,17,13,1,3,14.75,12.25
12034,2,4,1,0,1,2/13/2022,8:20:07 AM,7:20:07 AM,,20,17,1,4,20,14.25
12034,1,1,1,0,1,1/9/2022,8:39:15 AM,7:39:15 AM,,20,19,24,3,16.75,18.25
12034,1,3,11,0,1,1/11/2022,8:40:10 AM,7:40:10 AM,,23,13,1,1,21,14.4
12034,1,2,6,0,1,1/10/2022,8:51:07 AM,7:51:07 AM,,21,14,1,1,23,14
12034,3,8,6,0,1,3/14/2022,8:18:52 AM,7:18:52 AM,,19,12,1,3,23.4,16.6
12034,3,9,11,0,1,3/15/2022,9:50:57 AM,8:50:57 AM,,26,15,10,2,22,19
12034,3,7,1,0,1,3/13/2022,9:14:30 AM,8:14:30 AM,,27,16,16,1,25.4,14
12035,1,2,6,1,1,1/7/2022,7:15:54 AM,8:15:54 AM,,19,12,3,3,19.75,18.5
12035,1,1,1,1,1,1/6/2022,6:18:14 AM,7:18:14 AM,,26,24,7,8,25,15.6
12035,2,6,11,1,1,2/12/2022,6:51:25 AM,7:51:25 AM,,23,13,0,6,25.8,13.4
12035,1,3,11,1,1,1/8/2022,6:34:26 AM,7:34:26 AM,,20,12,2,3,26.8,16.4
12035,2,5,6,1,1,2/11/2022,7:27:16 AM,8:27:16 AM,,33,23,12,5,28,21.5
12035,2,4,1,1,1,2/10/2022,6:34:30 AM,7:34:30 AM,,30,26,10,8,30.6,22.8
12035,3,9,11,1,1,3/12/2022,7:01:35 AM,8:01:35 AM,,31,21,7,1,27.6,17.4
12035,3,7,1,1,1,3/10/2022,7:34:30 AM,8:34:30 AM,,32,22,10,2,26,16
12035,3,8,6,1,1,3/11/2022,7:43:08 AM,8:43:08 AM,,32,22,9,3,34,18.4
12036,1,3,11,0,1,1/8/2022,9:20:36 AM,9:20:36 AM,,20,22,4,4,18.5,15
12036,3,9,11,0,1,3/12/2022,8:13:02 AM,8:13:02 AM,,18,26,4,2,19.33333333,18
12036,2,5,6,0,1,2/11/2022,8:01:57 AM,8:01:57 AM,8:01:57,21,28,21,28,17.25,18
12036,3,7,1,0,0,,,,,,,16,24,17.5,14
12036,2,6,11,0,1,2/12/2022,7:57:02 AM,7:57:02 AM,,25,21,8,1,21.6,14.8
12036,3,8,6,0,1,3/11/2022,8:20:07 AM,8:20:07 AM,,24,21,11,3,23.4,15
12036,2,4,1,0,1,2/10/2022,7:56:34 AM,7:56:34 AM,,27,20,16,1,25,15.4
12036,1,1,1,0,1,1/6/2022,7:26:34 AM,7:26:34 AM,,27,21,4,0,27.2,17
12036,1,2,6,0,1,1/7/2022,7:39:12 AM,7:39:12 AM,,35,24,19,6,33,19.6
12037,1,3,11,0,1,1/11/2022,8:06:57 AM,8:06:57 AM,,15,20,10,8,18.4,16.4
12037,1,1,1,0,1,1/9/2022,9:03:18 AM,9:03:18 AM,,16,13,1,5,18,12.33333333
12037,1,2,6,0,1,1/10/2022,7:36:38 AM,7:36:38 AM,,21,16,8,1,21,15.4
12037,3,7,1,0,1,3/13/2022,8:53:53 AM,8:53:53 AM,,21,17,9,4,22.2,17.6
12037,3,9,11,0,1,3/15/2022,7:37:00 AM,7:37:00 AM,,19,19,7,4,22.25,15.75
12037,2,6,11,0,1,2/15/2022,8:16:10 AM,8:16:10 AM,,26,15,4,0,22.2,14.4
12037,3,8,6,0,1,3/14/2022,8:15:05 AM,8:15:05 AM,,18,18,2,2,21.25,18.5
12037,2,5,6,0,1,2/14/2022,7:40:25 AM,7:40:25 AM,,30,17,15,3,31.2,21.6
12037,2,4,1,0,1,2/13/2022,7:55:15 AM,7:55:15 AM,,33,13,17,1,31.8,17.2
12038,1,2,6,1,1,1/10/2022,8:13:10 AM,9:13:10 AM,,18,11,3,0,20,13.75
12038,2,4,1,1,1,2/20/2022,8:26:04 AM,9:26:04 AM,,25,13,1,1,19.5,16.5
